Date,Team,VegasLine
20151120,Hornets,197.5
20151120,Seventysixers,197.5
20151120,Lakers,203
20151120,Raptors,203
20151120,Mavericks,196
20151120,Jazz,196
20151120,Nuggets,206.5
20151120,Suns,206.5
20151120,Pelicans,200.5
20151120,Spurs,200.5
20151120,Thunder,206.5
20151120,Knicks,206.5
20151120,Timberwolves,201.5
20151120,Pistons,201.5
20151120,Trailblazers,209
20151120,Clippers,209
20151120,Warriors,208
20151120,Bulls,208
20151121,Cavaliers,199
20151121,Hawks,199
20151121,Heat,193
20151121,Seventysixers,193
20151121,Magic,207
20151121,Kings,207
20151121,Pacers,193.5
20151121,Bucks,193.5
20151121,Pistons,204
20151121,Wizards,204
20151121,Rockets,203.5
20151121,Knicks,203.5
20151121,Spurs,190
20151121,Grizzlies,190
20151122,Clippers,206
20151122,Raptors,206
20151122,Lakers,203
20151122,Trailblazers,203
20151122,Nets,203
20151122,Celtics,203
20151122,Nuggets,212.5
20151122,Warriors,212.5
20151122,Pelicans,210.5
20151122,Suns,210.5
20151122,Thunder,209.5
20151122,Mavericks,209.5
20151123,Bucks,191
20151123,Pistons,191
20151123,Cavaliers,199
20151123,Magic,199
20151123,Heat,190
20151123,Knicks,190
20151123,Hornets,211.5
20151123,Kings,211.5
20151123,Jazz,198.5
20151123,Thunder,198.5
20151123,Spurs,196.5
20151123,Suns,196.5
20151123,Timberwolves,200
20151123,Seventysixers,200
20151124,Grizzlies,196.5
20151124,Mavericks,196.5
20151124,Hawks,205
20151124,Celtics,205
20151124,Nuggets,207
20151124,Clippers,207
20151124,Trailblazers,201.5
20151124,Bulls,201.5
20151124,Warriors,215
20151124,Lakers,215
20151124,Wizards,207.5
20151124,Pacers,207.5
20151125,Bucks,210.5
20151125,Kings,210.5
20151125,Celtics,200
20151125,Seventysixers,200
20151125,Clippers,196.5
20151125,Jazz,196.5
20151125,Hornets,210
20151125,Wizards,210
20151125,Magic,195
20151125,Knicks,195
20151125,Pistons,186.5
20151125,Heat,186.5
20151125,Raptors,199
20151125,Cavaliers,199
20151125,Rockets,197
20151125,Grizzlies,197
20151125,Spurs,197.5
20151125,Mavericks,197.5
20151125,Suns,211
20151125,Pelicans,211
20151125,Thunder,210
20151125,Nets,210
20151125,Timberwolves,205.5
20151125,Hawks,205.5
20151127,Celtics,210.5
20151127,Wizards,210.5
20151127,Clippers,213.5
20151127,Pelicans,213.5
20151127,Grizzlies,195.5
20151127,Hawks,195.5
20151127,Hornets,205
20151127,Cavaliers,205
20151127,Kings,218
20151127,Timberwolves,218
20151127,Knicks,186.5
20151127,Heat,186.5
20151127,Magic,199.5
20151127,Bucks,199.5
20151127,Nuggets,195
20151127,Spurs,195
20151127,Pacers,199
20151127,Bulls,199
20151127,Rockets,197
20151127,Seventysixers,197
20151127,Suns,216.5
20151127,Warriors,216.5
20151127,Thunder,207
20151127,Pistons,207
20151128,Cavaliers,200.5
20151128,Nets,200.5
20151128,Jazz,196
20151128,Pelicans,196
20151128,Mavericks,205
20151128,Nuggets,205
20151128,Spurs,193
20151128,Hawks,193
20151128,Trailblazers,203
20151128,Lakers,203
20151128,Warriors,221.5
20151128,Kings,221.5
20151128,Wizards,202.5
20151128,Raptors,202.5
20151129,Clippers,206
20151129,Timberwolves,206
20151129,Grizzlies,193
20151129,Seventysixers,193
20151129,Hornets,201
20151129,Bucks,201
20151129,Knicks,200
20151129,Rockets,200
20151129,Lakers,202
20151129,Pacers,202
20151129,Magic,202
20151129,Celtics,202
20151129,Nets,193
20151129,Pistons,193
20151129,Raptors,204.5
20151129,Suns,204.5
20151130,Bucks,200.5
20151130,Nuggets,200.5
20151130,Bulls,190.5
20151130,Spurs,190.5
20151130,Clippers,206.5
20151130,Trailblazers,206.5
20151130,Hawks,211.5
20151130,Thunder,211.5
20151130,Heat,194
20151130,Celtics,194
20151130,Jazz,201.5
20151130,Warriors,201.5
20151130,Kings,213
20151130,Mavericks,213
20151130,Pistons,198
20151130,Rockets,198
20151201,Cavaliers,203
20151201,Wizards,203
20151201,Nets,207
20151201,Suns,207
20151201,Pelicans,201
20151201,Grizzlies,201
20151201,Seventysixers,195.5
20151201,Lakers,195.5
20151201,Timberwolves,202
20151201,Magic,202
20151201,Trailblazers,201
20151201,Mavericks,201
20151202,Bulls,197
20151202,Nuggets,197
20151202,Clippers,203
20151202,Pacers,203
20151202,Hawks,196.5
20151202,Raptors,196.5
20151202,Hornets,210
20151202,Warriors,210
20151202,Knicks,191
20151202,Seventysixers,191
20151202,Pistons,203.5
20151202,Suns,203.5
20151202,Rockets,213.5
20151202,Pelicans,213.5
20151202,Spurs,188
20151202,Bucks,188
20151202,Wizards,204
20151202,Lakers,204
20151203,Grizzlies,183
20151203,Spurs,183
20151203,Heat,203
20151203,Thunder,203
20151203,Jazz,192
20151203,Magic,192
20151203,Kings,214
20151203,Celtics,214
20151203,Raptors,193
20151203,Nuggets,193
20151203,Trailblazers,202.5
20151203,Pacers,202.5
20151204,Hawks,204
20151204,Lakers,204
20151204,Knicks,192.5
20151204,Nets,192.5
20151204,Mavericks,210.5
20151204,Rockets,210.5
20151204,Pelicans,208.5
20151204,Cavaliers,208.5
20151204,Pistons,193.5
20151204,Bucks,193.5
20151204,Wizards,214
20151204,Suns,214
20151205,Bucks,191
20151205,Knicks,191
20151205,Bulls,195.5
20151205,Hornets,195.5
20151205,Clippers,196.5
20151205,Magic,196.5
20151205,Heat,188
20151205,Cavaliers,188
20151205,Jazz,195
20151205,Pacers,195
20151205,Raptors,210
20151205,Warriors,210
20151205,Rockets,218
20151205,Kings,218
20151205,Seventysixers,194
20151205,Nuggets,194
20151205,Spurs,191
20151205,Celtics,191
20151205,Timberwolves,204
20151205,Trailblazers,204
20151206,Grizzlies,203.5
20151206,Suns,203.5
20151206,Nets,209
20151206,Warriors,209
20151206,Pistons,199
20151206,Lakers,199
20151206,Thunder,220.5
20151206,Kings,220.5
20151206,Wizards,208
20151206,Mavericks,208
20151207,Bucks,199
20151207,Trailblazers,199
20151207,Bulls,204
20151207,Suns,204
20151207,Heat,197
20151207,Wizards,197
20151207,Hornets,196
20151207,Pistons,196
20151207,Knicks,198.5
20151207,Mavericks,198.5
20151207,Pelicans,210.5
20151207,Celtics,210.5
20151207,Raptors,198.5
20151207,Lakers,198.5
20151207,Seventysixers,188.5
20151207,Spurs,188.5
20151207,Timberwolves,205
20151207,Clippers,205
20151208,Cavaliers,200
20151208,Trailblazers,200
20151208,Grizzlies,202.5
20151208,Thunder,202.5
20151208,Kings,205.5
20151208,Jazz,205.5
20151208,Nets,207
20151208,Rockets,207
20151208,Nuggets,198.5
20151208,Magic,198.5
20151208,Pacers,215
20151208,Warriors,215
20151209,Bucks,201
20151209,Clippers,201
20151209,Celtics,200.5
20151209,Bulls,200.5
20151209,Hornets,192.5
20151209,Heat,192.5
20151209,Jazz,191.5
20151209,Knicks,191.5
20151209,Mavericks,203
20151209,Hawks,203
20151209,Pistons,193
20151209,Grizzlies,193
20151209,Raptors,188
20151209,Spurs,188
20151209,Suns,206.5
20151209,Magic,206.5
20151209,Timberwolves,204.5
20151209,Lakers,204.5
20151209,Wizards,214
20151209,Rockets,214
20151210,Bulls,202.5
20151210,Clippers,202.5
20151210,Kings,209
20151210,Knicks,209
20151210,Nets,197.5
20151210,Seventysixers,197.5
20151210,Thunder,211
20151210,Hawks,211
20151211,Celtics,216
20151211,Warriors,216
20151211,Grizzlies,192.5
20151211,Hornets,192.5
20151211,Jazz,203
20151211,Thunder,203
20151211,Magic,197
20151211,Cavaliers,197
20151211,Nuggets,202
20151211,Timberwolves,202
20151211,Pacers,196.5
20151211,Heat,196.5
20151211,Pelicans,214.5
20151211,Wizards,214.5
20151211,Raptors,192
20151211,Bucks,192
20151211,Seventysixers,193
20151211,Pistons,193
20151211,Spurs,194.5
20151211,Lakers,194.5
20151211,Suns,209.5
20151211,Trailblazers,209.5
20151212,Bucks,205
20151212,Warriors,205
20151212,Bulls,202.5
20151212,Pelicans,202.5
20151212,Hawks,191.5
20151212,Spurs,191.5
