team,points,op team,op points,home away,season,vegas line,o/u margin,vegas line total,assists,ats streak,attendance,biggest lead,blocks,conference west/east,defensive rebounds,fast break points,field goals attempted,field goal percentage,fouls,free throws made,free throw percentage,lead changes,losses,margin after the first,margin at the half,matchup losses,matchup wins,offensive rebounds,officials,ou streak,overtime,points in the paint,rest,site streak,steals,streak,team rebounds,three pointers made,time of game,turnovers,wins,win percentage,matchup,o/u,WL,o/u margin class,time zone__C,time zone__M,time zone__P,division__Atlantic,division__Central,division__Northwest,division__Pacific,division__Southeast,division__Southwest,day__Friday,day__Monday,day__Saturday,day__Sunday,day__Thursday,day__Tuesday,day__Wednesday
Nets,116,Seventysixers,108,1,2017,6.5,12.0,212.0,19.0,-3,15577.0,11.0,9.0,0,30.0,4.0,77.0,50.65,26.0,25.0,89.29,21.0,33,-4.0,-1.0,0,0,9.0,"['Rodney Mott', 'Curtis Blair', 'Nick Buchert']",-3,0.0,38.0,0.0,-5,3.0,-4,5.0,13.0,133.0,11.0,18,54.55,Nets Seventysixers,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Seventysixers,108,Nets,116,0,2017,-6.5,12.0,212.0,17.0,-2,15577.0,9.0,5.0,0,27.0,6.0,76.0,47.37,21.0,29.0,85.29,21.0,23,4.0,1.0,0,0,6.0,"['Rodney Mott', 'Curtis Blair', 'Nick Buchert']",-1,0.0,46.0,1.0,-3,7.0,-2,9.0,7.0,133.0,8.0,24,104.35,Seventysixers Nets,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Pacers,105,Grizzlies,101,1,2017,-7.0,1.5,204.5,20.0,1,15093.0,9.0,4.0,0,25.0,24.0,70.0,52.86,15.0,21.0,67.74,13.0,23,-4.0,2.0,0,1,8.0,"['Ed Malloy', 'Sean Corbin', 'JB DeRosa']",-1,0.0,42.0,1.0,2,16.0,2,8.0,10.0,128.0,14.0,28,121.74,Pacers Grizzlies,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Grizzlies,101,Pacers,105,0,2017,7.0,1.5,204.5,20.0,1,15093.0,5.0,1.0,1,27.0,10.0,82.0,47.56,21.0,11.0,73.33,13.0,31,4.0,-2.0,1,0,14.0,"['Ed Malloy', 'Sean Corbin', 'JB DeRosa']",1,0.0,42.0,1.0,4,10.0,1,8.0,12.0,128.0,18.0,18,58.06,Grizzlies Pacers,1,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Suns,102,Mavericks,88,1,2017,2.5,-19.0,209.0,23.0,-1,15923.0,23.0,3.0,1,39.0,13.0,83.0,48.19,29.0,11.0,73.33,0.0,34,19.0,11.0,0,1,8.0,"['James Capers', 'Mark Lindsay', 'Tre Maddox']",1,0.0,38.0,1.0,-2,9.0,-5,9.0,11.0,135.0,17.0,17,50.0,Suns Mavericks,0,1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mavericks,88,Suns,102,0,2017,-2.5,-19.0,209.0,18.0,-1,15923.0,0.0,4.0,1,34.0,15.0,88.0,36.36,18.0,14.0,53.85,0.0,35,-19.0,-11.0,1,0,15.0,"['James Capers', 'Mark Lindsay', 'Tre Maddox']",-5,0.0,34.0,1.0,1,11.0,-4,10.0,10.0,135.0,12.0,16,45.71,Mavericks Suns,0,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Trailblazers,124,Bulls,108,1,2017,-8.0,18.0,214.0,21.0,3,17765.70283788192,29.0,6.0,1,43.0,16.0,82.0,56.1,19.0,17.0,85.0,0.0,22,24.0,23.0,0,1,5.0,"['Ron Garretson', 'Aaron Smith', 'Gary Zielinski']",-2,0.0,36.0,0.0,-2,3.0,3,9.0,15.0,119.0,17.0,28,127.27,Trailblazers Bulls,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Bulls,108,Trailblazers,124,0,2017,8.0,18.0,214.0,19.0,-3,17765.70283788192,0.0,4.0,0,24.0,19.0,99.0,41.41,16.0,13.0,59.09,0.0,32,-24.0,-23.0,1,0,12.0,"['Ron Garretson', 'Aaron Smith', 'Gary Zielinski']",-3,0.0,40.0,2.0,2,10.0,-4,12.0,13.0,119.0,6.0,18,56.25,Bulls Trailblazers,1,-1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Nuggets,127,Thunder,124,1,2017,1.5,33.5,217.5,32.0,1,18407.0,20.0,10.0,1,34.0,22.0,97.0,51.55,17.0,12.0,70.59,0.0,25,7.0,15.0,1,1,9.0,"['Zach Zarba', 'Tony Brown', 'Justin Van Duyne']",2,0.0,48.0,1.0,-1,3.0,-2,12.0,15.0,137.0,11.0,26,104.0,Nuggets Thunder,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Thunder,124,Nuggets,127,0,2017,-1.5,33.5,217.5,34.0,-1,18407.0,0.0,6.0,1,31.0,23.0,98.0,52.04,18.0,13.0,76.47,0.0,21,-7.0,-15.0,1,1,9.0,"['Zach Zarba', 'Tony Brown', 'Justin Van Duyne']",-1,0.0,66.0,1.0,-1,5.0,-1,8.0,9.0,137.0,7.0,30,142.86,Thunder Nuggets,1,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
